------------------------------------------------------------
Server listening on UDP port 46049
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.10 port 46049 connected with 10.0.0.6 port 34475
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  1] 130.0000-131.0000 sec  81.8 KBytes   670 Kbits/sec   0.795 ms 4/61 (6.6%)
[  1] 131.0000-132.0000 sec  77.5 KBytes   635 Kbits/sec   1.173 ms 7/61 (11%)
[  1] 132.0000-133.0000 sec  79.0 KBytes   647 Kbits/sec   1.134 ms 5/60 (8.3%)
[  1] 133.0000-134.0000 sec  83.3 KBytes   682 Kbits/sec   1.303 ms 3/61 (4.9%)
[  1] 134.0000-135.0000 sec  86.1 KBytes   706 Kbits/sec   1.073 ms 2/62 (3.2%)
[  1] 135.0000-136.0000 sec  80.4 KBytes   659 Kbits/sec   1.276 ms 5/61 (8.2%)
[  1] 136.0000-137.0000 sec  77.5 KBytes   635 Kbits/sec   0.892 ms 7/61 (11%)
[  1] 137.0000-138.0000 sec  77.5 KBytes   635 Kbits/sec   1.593 ms 6/60 (10%)
[  1] 138.0000-139.0000 sec  77.5 KBytes   635 Kbits/sec   1.639 ms 8/62 (13%)
[  1] 139.0000-140.0000 sec  83.3 KBytes   682 Kbits/sec   0.936 ms 3/61 (4.9%)
[  1] 140.0000-141.0000 sec  81.8 KBytes   670 Kbits/sec   0.897 ms 4/61 (6.6%)
[  1] 141.0000-142.0000 sec  79.0 KBytes   647 Kbits/sec   1.030 ms 6/61 (9.8%)
[  1] 142.0000-143.0000 sec  77.5 KBytes   635 Kbits/sec   1.292 ms 7/61 (11%)
[  1] 143.0000-144.0000 sec  74.6 KBytes   612 Kbits/sec   1.160 ms 8/60 (13%)
[  1] 144.0000-145.0000 sec  80.4 KBytes   659 Kbits/sec   1.696 ms 5/61 (8.2%)
[  1] 145.0000-146.0000 sec  83.3 KBytes   682 Kbits/sec   1.445 ms 4/62 (6.5%)
[  1] 146.0000-147.0000 sec  77.5 KBytes   635 Kbits/sec   1.663 ms 6/60 (10%)
[  1] 147.0000-148.0000 sec  80.4 KBytes   659 Kbits/sec   0.866 ms 5/61 (8.2%)
[  1] 148.0000-149.0000 sec  80.4 KBytes   659 Kbits/sec   0.924 ms 4/60 (6.7%)
[  1] 149.0000-150.0000 sec  80.4 KBytes   659 Kbits/sec   1.115 ms 6/62 (9.7%)
[  1] 150.0000-151.0000 sec  81.8 KBytes   670 Kbits/sec   1.664 ms 3/60 (5%)
[  1] 151.0000-152.0000 sec  79.0 KBytes   647 Kbits/sec   1.257 ms 7/62 (11%)
[  1] 152.0000-153.0000 sec  80.4 KBytes   659 Kbits/sec   0.932 ms 5/61 (8.2%)
[  1] 153.0000-154.0000 sec  71.8 KBytes   588 Kbits/sec   1.141 ms 10/60 (17%)
[  1] 154.0000-155.0000 sec  79.0 KBytes   647 Kbits/sec   1.515 ms 7/62 (11%)
[  1] 155.0000-156.0000 sec  80.4 KBytes   659 Kbits/sec   1.477 ms 5/61 (8.2%)
[  1] 156.0000-157.0000 sec  76.1 KBytes   623 Kbits/sec   1.172 ms 8/61 (13%)
[  1] 157.0000-158.0000 sec  80.4 KBytes   659 Kbits/sec   1.229 ms 5/61 (8.2%)
[  1] 158.0000-159.0000 sec  79.0 KBytes   647 Kbits/sec   0.735 ms 6/61 (9.8%)
[  1] 159.0000-160.0000 sec  84.7 KBytes   694 Kbits/sec   1.123 ms 2/61 (3.3%)
[  1] 160.0000-161.0000 sec  81.8 KBytes   670 Kbits/sec   1.531 ms 4/61 (6.6%)
[  1] 161.0000-162.0000 sec  77.5 KBytes   635 Kbits/sec   1.811 ms 6/60 (10%)
[  1] 162.0000-163.0000 sec  71.8 KBytes   588 Kbits/sec   1.023 ms 11/61 (18%)
[  1] 163.0000-164.0000 sec  80.4 KBytes   659 Kbits/sec   0.988 ms 6/62 (9.7%)
[  1] 164.0000-165.0000 sec  81.8 KBytes   670 Kbits/sec   0.840 ms 3/60 (5%)
[  1] 165.0000-166.0000 sec  76.1 KBytes   623 Kbits/sec   1.310 ms 8/61 (13%)
[  1] 166.0000-167.0000 sec  74.6 KBytes   612 Kbits/sec   1.273 ms 8/60 (13%)
[  1] 167.0000-168.0000 sec  80.4 KBytes   659 Kbits/sec   0.897 ms 6/62 (9.7%)
[  1] 168.0000-169.0000 sec  80.4 KBytes   659 Kbits/sec   1.345 ms 5/61 (8.2%)
[  1] 169.0000-170.0000 sec  81.8 KBytes   670 Kbits/sec   1.064 ms 4/61 (6.6%)
[  1] 170.0000-171.0000 sec  81.8 KBytes   670 Kbits/sec   0.785 ms 4/61 (6.6%)
[  1] 171.0000-172.0000 sec  76.1 KBytes   623 Kbits/sec   0.816 ms 8/61 (13%)
[  1] 172.0000-173.0000 sec  83.3 KBytes   682 Kbits/sec   0.955 ms 3/61 (4.9%)
[  1] 173.0000-174.0000 sec  77.5 KBytes   635 Kbits/sec   1.006 ms 7/61 (11%)
[  1] 174.0000-175.0000 sec  80.4 KBytes   659 Kbits/sec   1.256 ms 5/61 (8.2%)
[  1] 175.0000-176.0000 sec  79.0 KBytes   647 Kbits/sec   1.443 ms 6/61 (9.8%)
[  1] 176.0000-177.0000 sec  71.8 KBytes   588 Kbits/sec   1.098 ms 10/60 (17%)
[  1] 0.0000-177.0379 sec  14.1 MBytes   666 Kbits/sec   2.797 ms 769/10793 (7.1%)
[  3] WARNING: ack of last datagram failed.
