------------------------------------------------------------
Server listening on TCP port 50793
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.8 port 50793 connected with 10.0.0.6 port 51694 (icwnd/mss/irtt=14/1448/41000)
[ ID] Interval       Transfer     Bandwidth
[  1] 347.0000-348.0000 sec   400 KBytes  3.28 Mbits/sec
[  1] 348.0000-349.0000 sec   288 KBytes  2.36 Mbits/sec
[  1] 349.0000-350.0000 sec   314 KBytes  2.57 Mbits/sec
[  1] 350.0000-351.0000 sec   218 KBytes  1.78 Mbits/sec
[  1] 351.0000-352.0000 sec   257 KBytes  2.11 Mbits/sec
[  1] 352.0000-353.0000 sec   301 KBytes  2.47 Mbits/sec
[  1] 353.0000-354.0000 sec   262 KBytes  2.14 Mbits/sec
[  1] 354.0000-355.0000 sec   428 KBytes  3.51 Mbits/sec
[  1] 355.0000-356.0000 sec   243 KBytes  1.99 Mbits/sec
[  1] 356.0000-357.0000 sec  73.5 KBytes   602 Kbits/sec
[  1] 357.0000-358.0000 sec  84.8 KBytes   695 Kbits/sec
[  1] 358.0000-359.0000 sec   180 KBytes  1.47 Mbits/sec
[  1] 359.0000-360.0000 sec   334 KBytes  2.73 Mbits/sec
