------------------------------------------------------------
Server listening on TCP port 58364
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.7 port 58364 connected with 10.0.0.4 port 46948 (icwnd/mss/irtt=14/1448/15415)
[ ID] Interval       Transfer     Bandwidth
[  1] 333.0000-334.0000 sec   639 KBytes  5.24 Mbits/sec
[  1] 334.0000-335.0000 sec   690 KBytes  5.65 Mbits/sec
[  1] 335.0000-336.0000 sec   348 KBytes  2.85 Mbits/sec
[  1] 336.0000-337.0000 sec   475 KBytes  3.89 Mbits/sec
[  1] 337.0000-338.0000 sec   280 KBytes  2.29 Mbits/sec
[  1] 338.0000-339.0000 sec   708 KBytes  5.80 Mbits/sec
[  1] 339.0000-340.0000 sec   556 KBytes  4.55 Mbits/sec
[  1] 340.0000-341.0000 sec   505 KBytes  4.14 Mbits/sec
[  1] 341.0000-342.0000 sec   945 KBytes  7.74 Mbits/sec
[  1] 342.0000-343.0000 sec   844 KBytes  6.92 Mbits/sec
[  1] 343.0000-344.0000 sec   776 KBytes  6.36 Mbits/sec
[  1] 344.0000-345.0000 sec   718 KBytes  5.88 Mbits/sec
[  1] 345.0000-346.0000 sec   570 KBytes  4.67 Mbits/sec
[  1] 346.0000-347.0000 sec   482 KBytes  3.95 Mbits/sec
[  1] 347.0000-348.0000 sec   707 KBytes  5.79 Mbits/sec
[  1] 348.0000-349.0000 sec   461 KBytes  3.78 Mbits/sec
[  1] 349.0000-350.0000 sec   639 KBytes  5.24 Mbits/sec
[  1] 350.0000-351.0000 sec   518 KBytes  4.24 Mbits/sec
[  1] 351.0000-352.0000 sec   512 KBytes  4.19 Mbits/sec
[  1] 352.0000-353.0000 sec  1.08 MBytes  9.08 Mbits/sec
[  1] 353.0000-354.0000 sec   631 KBytes  5.17 Mbits/sec
[  1] 354.0000-355.0000 sec   601 KBytes  4.92 Mbits/sec
[  1] 355.0000-356.0000 sec   370 KBytes  3.04 Mbits/sec
